aa https://en.wikipedia.org/wiki/Portal:Current_events https://en.wikipedia.org/wiki/Tool_(band) 1 5
aan https://af.wikipedia.org/wiki/Tool https://en.wikipedia.org/wiki/Tool_(band) 1 3
aanhalings https://af.wikipedia.org/wiki/Tool https://en.wikipedia.org/wiki/Tool_(band) 1 1
aanvullende https://af.wikipedia.org/wiki/Tool https://en.wikipedia.org/wiki/Tool_(band) 1 1
aastal https://fiu-vro.wikipedia.org/wiki/Tool https://en.wikipedia.org/wiki/Tool_(band) 1 1
ab https://de.wikipedia.org/wiki/Tool_(Band) https://en.wikipedia.org/wiki/Tool_(band) 1 4
ab https://en.wikipedia.org/wiki/Wikipedia:Community_portal https://en.wikipedia.org/wiki/Tool_(band) 1 1
abadam https://en.wikipedia.org/wiki/Portal:Current_events https://en.wikipedia.org/wiki/Tool_(band) 1 1
abandoned https://en.wikipedia.org/wiki/Wikipedia:Community_portal https://en.wikipedia.org/wiki/Tool_(band) 1 1
abarcan https://gl.wikipedia.org/wiki/Tool https://en.wikipedia.org/wiki/Tool_(band) 1 1
abba https://en.wikipedia.org/wiki/Special:RecentChanges https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbas https://en.wikipedia.org/wiki/Portal:Current_events https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbildungen https://de.wikipedia.org/wiki/Tool_(Band) https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbreviate https://en.wikipedia.org/wiki/Wikipedia:Community_portal https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbreviation https://en.wikipedia.org/wiki/Special:RecentChanges https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbreviations https://en.wikipedia.org/wiki/Help:Contents https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbreviations https://en.wikipedia.org/wiki/Special:RecentChanges https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbreviations https://en.wikipedia.org/wiki/Wikipedia:About https://en.wikipedia.org/wiki/Tool_(band) 1 1
abbreviations https://en.wikipedia.org/wiki/Wikipedia:Community_portal https://en.wikipedia.org/wiki/Tool_(band) 1 4
abbreviations https://en.wikipedia.org/wiki/Wikipedia:Contents https://en.wikipedia.org/wiki/Tool_(band) 1 1
abc https://de.wikipedia.org/wiki/Tool_(Band) https://en.wikipedia.org/wiki/Tool_(band) 1 2
abc https://en.wikipedia.org/wiki/Portal:Current_events https://en.wikipedia.org/wiki/Tool_(band) 1 1
abductions https://en.wikipedia.org/wiki/Portal:Current_events https://en.wikipedia.org/wiki/Tool_(band) 1 1
abdullah https://en.wikipedia.org/wiki/Portal:Current_events https://en.wikipedia.org/wiki/Tool_(band) 1 1
